Source	ID	Title	Journal	Year_publication	doi	Geography	Higher_Geography	Year	Domain	System 	System_specific	Taxon_Group	Taxon	Taxon_specific	Impact	Impact_specific	Conservation_Group	Conservation_Action	Conservation_Action_specific	Tested_statistically	Response_variable	Response_Group	Predictor_variable	Statistical_method	Test_statistic	value	df	N	Direction_of_effect	P-value	Pearson_r	Pearson_r_conversion	Notes	Assignment	Validation
Other	Other_0002	Endangered and Threatened Animals of Texas. Their Life History and Management	Texas Park and Wildlife - Wildlife Division	2003	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_w7000_0013.pdf	USA	Nearctic	1967-1983	Terrestrial	Cave	Chinati Mountains of Presidio County, Texas and southward to central Mexico	Other vertebrates	Amphibia	Eurycea nana	Subterranean habitat change	One of the greatest threats to the Aquifer system is the potential for over pumping which may allow saline water to enter areas that are now fresh water. Biodiversity loss or pollution/change in temperature. The species is at top of the food chain. Species Endangered.	Monitoring	Monitoring	Monitoring existing populations and habitats. Basic biological research addressing habitat requirements and aspects of life history, such as food habits, reproduction, diseases and parasites.	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Niemiller	Mammola
Other	Other_0002	Endangered and Threatened Animals of Texas. Their Life History and Management	Texas Park and Wildlife - Wildlife Division	2003	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_w7000_0013.pdf	USA	Nearctic	1967-1983	Terrestrial	Cave	Edwards Aquifer, San Marcos Pool of the Edwards aquifer, Texas	Other vertebrates	Amphibia	Eurycea rathbuni	Subterranean habitat change	One of the greatest threats to the Aquifer system is the potential for over pumping which may allow saline water to enter areas that are now fresh water. Biodiversity loss or pollution/change in temperature. The species is at top of the food chain. Species Endangered.	Monitoring	Monitoring	Monitoring existing populations and habitats. Basic biological research addressing habitat requirements and aspects of life history, such as food habits, reproduction, diseases and parasites.	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Niemiller	Mammola
Other	Other_0002	Endangered and Threatened Animals of Texas. Their Life History and Management	Texas Park and Wildlife - Wildlife Division	2003	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_w7000_0013.pdf	USA	Nearctic	1967-1983	Aquatic	Cave	Edwards Aquifer, San Marcos Pool of the Edwards aquifer, Texas	Other vertebrates	Pisces	Gambusia georgei	Subterranean habitat change	One of the greatest threats to the Aquifer system is the potential for over pumping which may allow saline water to enter areas that are now fresh water. Biodiversity loss or pollution/change in temperature. The species is at top of the food chain. Species Endangered.	Monitoring	Monitoring	Monitoring existing populations and habitats. Basic biological research addressing habitat requirements and aspects of life history, such as food habits, reproduction, diseases and parasites.	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Niemiller	Mammola
Other	Other_0002	Endangered and Threatened Animals of Texas. Their Life History and Management	Texas Park and Wildlife - Wildlife Division	2003	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_w7000_0013.pdf	Travis country, USA ; Williamson country, USA	Nearctic	NA	Terrestrial	Cave	All	Bats	Mammalia: Chiroptera	Not specific	Alien species	Spread of alien species, such as red imported fire ants	Restoration	Eradication	Controlling invasion of exotic species, such as red imported fire ants	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Niemiller	Mammola
Other	Other_0002	Endangered and Threatened Animals of Texas. Their Life History and Management	Texas Park and Wildlife - Wildlife Division	2003	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_w7000_0013.pdf	Mexico ; USA	Nearctic	1967-1983	Terrestrial	Cave	Southwestern New Mexico, the Big Bend area of Texas	Bats	Mammalia: Chiroptera	Leptonycteris nivalis	Subterranean habitat change	Population decline both in the United States and Mexico due to human disturbance and destruction of roost sites (endangered species). In Mexico,destructive control practices targeted for vampire bats often kill this species	Monitoring	Monitoring	Periodic surveys are conducted to assess population status in roosting sites.	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Niemiller	Mammola
Other	Other_0003	Changes in population size of bats at a hibernaculum in Alberta, Canada, in relation to cave disturbance and access restrictions	Northwestern Naturalist	2011	https://www.jstor.org/stable/41300904	Alberta, Canada	Nearctic	1972-2009	Terrestrial	Cave	Caldomin cave	Bats	Mammalia: Chiroptera	Myotis lucifugus ; Myotis volans ; Myotis suptentrionalis	Visitors	NA	Regulation	Regulate access	Restrict recreational visitors in winter months	yes	Population size	Abundance	After regulation	OLS	t	3,03	16	3	Positive	0,01	0,95	converted	sample size inferred ;the combined measure for all surveys combined is taken	Meierhofer	Mammola
Other	Other_0003	Changes in population size of bats at a hibernaculum in Alberta, Canada, in relation to cave disturbance and access restrictions	Northwestern Naturalist	2011	https://www.jstor.org/stable/41300904	Alberta, Canada	Nearctic	1972-2009	Terrestrial	Cave	Caldomin cave	Bats	Mammalia: Chiroptera	Myotis lucifugus ; Myotis volans ; Myotis suptentrionalis	Visitors	Disturbance during monitoring	Regulation	Regulate access	Perform less monitoring events to reduce disturbance	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Meierhofer	Mammola
Other	Other_0004	Converting abandoned mines to suitable hibernacula for endangered Indiana bats.	Protecting threatened bats at coal mines: A technical interactive forum.	2010	https://www.osmre.gov/resources/reports/2010ProtectingThreatenedBatsCoalMinesForum.pdf	Alberta, Canada	Nearctic	2010	Terrestrial	Artificial	Mines	Bats	Mammalia: Chiroptera	Not specific	Subterranean habitat change	Altering microclimates	Regulation	Gate	Closing man-made entrance	no	Population growth	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Meierhofer	Mammola
Other	Other_0005	Creating a bat hibernaculum at Kingfishers Bridge, Cambridgeshire, England	Conservation Evidence	2007	https://www.conservationevidence.com/individual-study/2255	UK	Nearctic	2004-2006	Terrestrial	Artificial	Artificial cave	Arthropoda	Hexapoda	Lepidoptera	Not identified	NA	Restoration	Habitat creation	Create artifical cave/hibernacula for bats	no	Occupancy	NA	Presence of hibernaculum	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Meierhofer	Mammola
Other	Other_0005	Creating a bat hibernaculum at Kingfishers Bridge, Cambridgeshire, England	Conservation Evidence	2007	https://www.conservationevidence.com/individual-study/2255	UK	Nearctic	2004-2006	Terrestrial	Artificial	Artificial cave	Bats	Mammalia: Chiroptera	Plecotus auritus	Not identified	NA	Restoration	Habitat creation	Create artifical cave/hibernacula for bats	no	Occupancy	NA	Presence of hibernaculum	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Meierhofer	Mammola
Other	Other_0005	Creating a bat hibernaculum at Kingfishers Bridge, Cambridgeshire, England	Conservation Evidence	2007	https://www.conservationevidence.com/individual-study/2255	UK	Nearctic	2004-2006	Terrestrial	Artificial	Artificial cave	Bats	Mammalia: Chiroptera	Plecotus auritus	Visitors	NA	Regulation	Gate	Create artifical cave/hibernacula for bats	no	Occupancy	NA	Gate present	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Meierhofer	Mammola
Other	Other_0006	Effects of gates on the nighttime use of mines by bats in northern Idaho.	Northwestern Naturalist	2009	https://doi.org/10.1898/10-26.1	Idaho, USA	Nearctic	2002-2004	Terrestrial	Artificial	10 mines	Bats	Mammalia: Chiroptera	Not specific	Visitors	Public safety and conserve bats	Regulation	Gate	Addition of gates to mine entrances	yes	Population growth	Abundance	Gate vs. no gate	two factor repeated measures ANOVA	F	-11,06	1,70	NA	Negative	0,01	NA	not convertible	number of species declined after gating	Meierhofer	Mammola
Other	Other_0006	Effects of gates on the nighttime use of mines by bats in northern Idaho.	Northwestern Naturalist	2009	https://doi.org/10.1898/10-26.1	Idaho, USA	Nearctic	2002-2004	Terrestrial	Artificial	10 mines	Bats	Mammalia: Chiroptera	Not specific	Visitors	Public safety and conserve bats	Regulation	Gate	Addition of gates to mine entrances	yes	Behaviour	Behavior	Gate vs. no gate	two factor repeated measures ANOVA	F	-7,76	1,80	NA	Negative	0,02	NA	not convertible	number of entries	Meierhofer	Mammola
Other	Other_0006	Effects of gates on the nighttime use of mines by bats in northern Idaho.	Northwestern Naturalist	2009	https://doi.org/10.1898/10-26.1	Idaho, USA	Nearctic	2002-2004	Terrestrial	Artificial	10 mines	Bats	Mammalia: Chiroptera	Not specific	Visitors	Public safety and conserve bats	Regulation	Gate	Addition of gates to mine entrances	yes	Behaviour	Behavior	Gate vs. no gate	Wilcoxon signed-ranks test	z	-2,02	NA	NA	Negative	0,04	NA	not convertible	tandem flying increase at reference sites when gates installed at experimental mines	Meierhofer	Mammola
Other	Other_0006	Effects of gates on the nighttime use of mines by bats in northern Idaho.	Northwestern Naturalist	2009	https://doi.org/10.1898/10-26.1	Idaho, USA	Nearctic	2002-2004	Terrestrial	Artificial	10 mines	Bats	Mammalia: Chiroptera	Not specific	Visitors	Public safety and conserve bats	Regulation	Gate	Addition of gates to mine entrances	yes	Behaviour	Behavior	Gate vs. no gate	Wilcoxon signed-ranks test	z	NA	NA	NA	Neutral	>0.05	NA	not convertible	entry looping	Meierhofer	Mammola
Other	Other_0006	Effects of gates on the nighttime use of mines by bats in northern Idaho.	Northwestern Naturalist	2009	https://doi.org/10.1898/10-26.1	Idaho, USA	Nearctic	2002-2004	Terrestrial	Artificial	10 mines	Bats	Mammalia: Chiroptera	Not specific	Visitors	Public safety and conserve bats	Regulation	Gate	Addition of gates to mine entrances	yes	Behaviour	Behavior	Gate vs. no gate	Wilcoxon signed-ranks test	z	NA	NA	NA	Neutral	>0.05	NA	not convertible	flying in front	Meierhofer	Mammola
Other	Other_0006	Effects of gates on the nighttime use of mines by bats in northern Idaho.	Northwestern Naturalist	2009	https://doi.org/10.1898/10-26.1	Idaho, USA	Nearctic	2002-2004	Terrestrial	Artificial	10 mines	Bats	Mammalia: Chiroptera	Not specific	Visitors	Public safety and conserve bats	Regulation	Gate	Addition of gates to mine entrances	yes	Behaviour	Behavior	Gate vs. no gate	Wilcoxon signed-ranks test	z	NA	NA	NA	Neutral	>0.05	NA	not convertible	entry retreating	Meierhofer	Mammola
Other	Other_0006	Effects of gates on the nighttime use of mines by bats in northern Idaho.	Northwestern Naturalist	2009	https://doi.org/10.1898/10-26.1	Idaho, USA	Nearctic	2002-2004	Terrestrial	Artificial	10 mines	Bats	Mammalia: Chiroptera	Not specific	Visitors	Public safety and conserve bats	Regulation	Gate	Addition of gates to mine entrances	yes	Behaviour	Behavior	Gate vs. no gate	Wilcoxon signed-ranks test	z	NA	NA	NA	Neutral	>0.05	NA	not convertible	flying within	Meierhofer	Mammola
Other	Other_0007	Life Szachownica/PL - Carrying out necessary conservation work on a territory of Szachownica Cave designated within Natura 2000	LIFE12 NAT/PL/000012	2012	http://www.lifeszachownica.pl/,	Poland	Palearctic	2014-2017	Terrestrial	Cave	Szachownica Cave	Bats	Mammalia: Chiroptera	Barbastella barbastellus	Subterranean habitat change	NA	Protection	Protected area	Make permanently safe 1000 m^2 of the rock roof in the Szachownica cave; make permanently safe other parts of the rock roof and side walls; maintain the existing number of chambers and their structures, as favoured by the bat populations; maintain the current shape of the cave entrance; ensure the proper ventilation of the cave.	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	?	Mammola
Other	Other_0007	Life Szachownica/PL - Carrying out necessary conservation work on a territory of Szachownica Cave designated within Natura 2000	LIFE12 NAT/PL/000012	2012	http://www.lifeszachownica.pl/,	Poland	Palearctic	2014-2017	Terrestrial	Cave	Szachownica Cave	Bats	Mammalia: Chiroptera	Myotis bechsteinii	Subterranean habitat change	NA	Protection	Protected area	Make permanently safe 1000 m^2 of the rock roof in the Szachownica cave; make permanently safe other parts of the rock roof and side walls; maintain the existing number of chambers and their structures, as favoured by the bat populations; maintain the current shape of the cave entrance; ensure the proper ventilation of the cave.	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	?	Mammola
Other	Other_0007	Life Szachownica/PL - Carrying out necessary conservation work on a territory of Szachownica Cave designated within Natura 2000	LIFE12 NAT/PL/000012	2012	http://www.lifeszachownica.pl/,	Poland	Palearctic	2014-2017	Terrestrial	Cave	Szachownica Cave	Bats	Mammalia: Chiroptera	Myotis myotis	Subterranean habitat change	NA	Protection	Protected area	Make permanently safe 1000 m^2 of the rock roof in the Szachownica cave; make permanently safe other parts of the rock roof and side walls; maintain the existing number of chambers and their structures, as favoured by the bat populations; maintain the current shape of the cave entrance; ensure the proper ventilation of the cave.	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	?	Mammola
Other	Other_0008	LIFE GRECABAT - Greek Caves and Bats: Management Actions and Change of Attitude	LIFE17 NAT/GR/000522	2017	https://www.lifegrecabat.eu	Greece	Palearctic	2018-2023	Terrestrial	Cave	NA	Bats	Mammalia: Chiroptera	Eptesicus serotinus ; Miniopterus schreibersii ; Myotis blythii ; Myotis capaccinii ; Myotis emarginatus ; Myotis myotis ; Myotis nattereri ; Rhinolophus blasii ; Rhinolophus euryale ; Rhinolophus hipposideros ; Rhinolophus mehelyi ; Rhinolophus ferrumequinum	Visitors	NA	Protection	Protected area	Improve, restore and protect the cave habitat and bat roosting sites colonies in caves, which also provide alarm messages when unauthorised entry to the caves is attempted, and the design and use of prototype portable data loggers to monitor environmental conditions and bat colonies at all sites	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	?	Mammola
Other	Other_0008	LIFE GRECABAT - Greek Caves and Bats: Management Actions and Change of Attitude	LIFE17 NAT/GR/000522	2017	https://www.lifegrecabat.eu	Greece	Palearctic	2018-2023	Terrestrial	Cave	NA	Bats	Mammalia: Chiroptera	Eptesicus serotinus ; Miniopterus schreibersii ; Myotis blythii ; Myotis capaccinii ; Myotis emarginatus ; Myotis myotis ; Myotis nattereri ; Rhinolophus blasii ; Rhinolophus euryale ; Rhinolophus hipposideros ; Rhinolophus mehelyi ; Rhinolophus ferrumequinum	Visitors	NA	Restoration	Habitat restoration	Improve, restore and protect the cave habitat and bat roosting sites colonies in caves, which also provide alarm messages when unauthorised entry to the caves is attempted, and the design and use of prototype portable data loggers to monitor environmental conditions and bat colonies at all sites	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	?	Mammola
Other	Other_0008	LIFE GRECABAT - Greek Caves and Bats: Management Actions and Change of Attitude	LIFE17 NAT/GR/000522	2017	https://www.lifegrecabat.eu	Greece	Palearctic	2018-2023	Terrestrial	Cave	NA	Bats	Mammalia: Chiroptera	Eptesicus serotinus ; Miniopterus schreibersii ; Myotis blythii ; Myotis capaccinii ; Myotis emarginatus ; Myotis myotis ; Myotis nattereri ; Rhinolophus blasii ; Rhinolophus euryale ; Rhinolophus hipposideros ; Rhinolophus mehelyi ; Rhinolophus ferrumequinum	Visitors	NA	Education	Education	Involve volunteers and promote citizen science; raise public awareness concerning the ecological importance of caves; promote green tourism and jobs linked to Natura 2000 management	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	?	Mammola
Other	Other_0008	LIFE GRECABAT - Greek Caves and Bats: Management Actions and Change of Attitude	LIFE17 NAT/GR/000522	2017	https://www.lifegrecabat.eu	Greece	Palearctic	2018-2023	Terrestrial	Cave	NA	Bats	Mammalia: Chiroptera	Eptesicus serotinus ; Miniopterus schreibersii ; Myotis blythii ; Myotis capaccinii ; Myotis emarginatus ; Myotis myotis ; Myotis nattereri ; Rhinolophus blasii ; Rhinolophus euryale ; Rhinolophus hipposideros ; Rhinolophus mehelyi ; Rhinolophus ferrumequinum	Visitors	NA	Monitoring	Monitoring	Installation of permanent telemetry systems to monitor parameters in the Habitat Directive-listed ‘caves not open to the public’ habitat and for bat colonies in caves.	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	?	Mammola
Other	Other_0008	LIFE GRECABAT - Greek Caves and Bats: Management Actions and Change of Attitude	LIFE17 NAT/GR/000522	2017	https://www.lifegrecabat.eu	Greece	Palearctic	2018-2023	Terrestrial	Cave	NA	Bats	Mammalia: Chiroptera	Eptesicus serotinus ; Miniopterus schreibersii ; Myotis blythii ; Myotis capaccinii ; Myotis emarginatus ; Myotis myotis ; Myotis nattereri ; Rhinolophus blasii ; Rhinolophus euryale ; Rhinolophus hipposideros ; Rhinolophus mehelyi ; Rhinolophus ferrumequinum	Visitors	NA	Regulation	Regulate access	Provide alarm messages when unauthorised entry to the caves is attempted	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	?	Mammola
Other	Other_0009	ESTBATLIFE - Improving the Pond Bat (Myotis dasycneme) habitats in Estonia	LIFE16 NAT/EE/000710	2017	https://elfond.ee/bats/the-project	Estonia	Palearctic	2017-2021	Terrestrial	Cave	NA	Bats	Mammalia: Chiroptera	Myotis dasycneme	Subterranean habitat change	Mining	Protection	Protected area	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	?	Mammola
Other	Other_0009	ESTBATLIFE - Improving the Pond Bat (Myotis dasycneme) habitats in Estonia	LIFE16 NAT/EE/000710	2017	https://elfond.ee/bats/the-project	Estonia	Palearctic	2017-2021	Terrestrial	Cave	NA	Bats	Mammalia: Chiroptera	Myotis dasycneme	Visitors	NA	Protection	Protected area	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	?	Mammola
Other	Other_0009	ESTBATLIFE - Improving the Pond Bat (Myotis dasycneme) habitats in Estonia	LIFE16 NAT/EE/000710	2017	https://elfond.ee/bats/the-project	Estonia	Palearctic	2017-2021	Terrestrial	Cave	NA	Bats	Mammalia: Chiroptera	Myotis dasycneme	Visitors	NA	Regulation	Regulate access	Reduce visitor flows during the hibernation period in the most vulnerable habitats of the pond bat	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	?	Mammola
Other	Other_0009	ESTBATLIFE - Improving the Pond Bat (Myotis dasycneme) habitats in Estonia	LIFE16 NAT/EE/000710	2017	https://elfond.ee/bats/the-project	Estonia	Palearctic	2017-2021	Terrestrial	Cave	NA	Bats	Mammalia: Chiroptera	Myotis dasycneme	Subterranean habitat change	Mining	Restoration	Habitat restoration	Stop degradation of habitats caused by low temperatures, draughts and roof collapse	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	?	Mammola
